usecs   ticks    time part mamType noteType channel pitch velocity    other
1000000       0   0.000    0       2       f0       f    51        0 00000000
    0       0   0.000    1       1       c0       0    13        0 00000000
    0       2   0.125    1       0       90       0    49       7f 00000000
    0       8   0.500    1       0       90       0    4b       7f 00000000
    0       8   0.500    1       0       80       0    49        0 00000000
    0      14   0.875    1       0       90       0    4d       7f 00000000
    0      14   0.875    1       0       80       0    4b        0 00000000
    0      20   1.250    1       0       90       0    4b       7f 00000000
    0      20   1.250    1       0       80       0    4d        0 00000000
    0      26   1.625    1       0       90       0    49       7f 00000000
    0      26   1.625    1       0       80       0    4b        0 00000000
    0      32   2.000    1       0       90       0    4b       7f 00000000
    0      32   2.000    1       0       80       0    49        0 00000000
    0      41   2.563    1       0       90       0    48       7f 00000000
    0      41   2.563    1       0       80       0    4b        0 00000000
    0      44   2.750    1       0       90       0    46       7f 00000000
    0      44   2.750    1       0       80       0    48        0 00000000
    0      68   4.250    1       0       80       0    46        0 00000000
    0      74   4.625    1       0       90       0    4b       7f 00000000
    0      80   5.000    1       0       90       0    4d       7f 00000000
    0      80   5.000    1       0       80       0    4b        0 00000000
    0      86   5.375    1       0       90       0    4e       7f 00000000
    0      86   5.375    1       0       80       0    4d        0 00000000
    0      92   5.750    1       0       90       0    4d       7f 00000000
    0      92   5.750    1       0       80       0    4e        0 00000000
    0      98   6.125    1       0       90       0    4b       7f 00000000
    0      98   6.125    1       0       80       0    4d        0 00000000
    0     104   6.500    1       0       90       0    4d       7f 00000000
    0     104   6.500    1       0       80       0    4b        0 00000000
    0     113   7.063    1       0       90       0    49       7f 00000000
    0     113   7.063    1       0       80       0    4d        0 00000000
    0     116   7.250    1       0       90       0    48       7f 00000000
    0     116   7.250    1       0       80       0    49        0 00000000
    0     128   8.000    1       0       90       0    49       7f 00000000
    0     128   8.000    1       0       80       0    48        0 00000000
    0     140   8.750    1       0       90       0    4b       7f 00000000
    0     140   8.750    1       0       80       0    49        0 00000000
    0     143   8.938    1       0       80       0    4b        0 00000000
    0     146   9.125    1       0       90       0    4b       7f 00000000
    0     152   9.500    1       0       90       0    4d       7f 00000000
    0     152   9.500    1       0       80       0    4b        0 00000000
    0     158   9.875    1       0       90       0    4e       7f 00000000
    0     158   9.875    1       0       80       0    4d        0 00000000
    0     164  10.250    1       0       90       0    50       7f 00000000
    0     164  10.250    1       0       80       0    4e        0 00000000
    0     185  11.563    1       0       80       0    50        0 00000000
    0     188  11.750    1       0       90       0    50       7f 00000000
    0     197  12.313    1       0       80       0    50        0 00000000
    0     200  12.500    1       0       90       0    50       7f 00000000
    0     209  13.063    1       0       90       0    4d       7f 00000000
    0     209  13.063    1       0       80       0    50        0 00000000
    0     212  13.250    1       0       90       0    4d       7f 00000000
    0     212  13.250    1       0       80       0    4d        0 00000000
    0     221  13.813    1       0       80       0    4d        0 00000000
    0     224  14.000    1       0       90       0    4d       7f 00000000
    0     239  14.938    1       0       80       0    4d        0 00000000
    0     242  15.125    1       0       90       0    4d       7f 00000000
    0     245  15.313    1       0       80       0    4d        0 00000000
    0     248  15.500    1       0       90       0    4d       7f 00000000
    0     257  16.063    1       0       90       0    49       7f 00000000
    0     257  16.063    1       0       80       0    4d        0 00000000
    0     260  16.250    1       0       90       0    44       7f 00000000
    0     260  16.250    1       0       80       0    49        0 00000000
    0     275  17.188    1       0       80       0    44        0 00000000
    0     278  17.375    1       0       90       0    44       7f 00000000
    0     284  17.750    1       0       90       0    43       7f 00000000
    0     284  17.750    1       0       80       0    44        0 00000000
    0     290  18.125    1       0       90       0    44       7f 00000000
    0     290  18.125    1       0       80       0    43        0 00000000
    0     296  18.500    1       0       90       0    4b       7f 00000000
    0     296  18.500    1       0       80       0    44        0 00000000
    0     305  19.063    1       0       90       0    48       7f 00000000
    0     305  19.063    1       0       80       0    4b        0 00000000
    0     308  19.250    1       0       90       0    49       7f 00000000
    0     308  19.250    1       0       80       0    48        0 00000000
    0     323  20.188    1       0       80       0    49        0 00000000
    0     326  20.375    1       0       90       0    46       7f 00000000
    0     329  20.563    1       0       90       0    49       7f 00000000
    0     329  20.563    1       0       80       0    46        0 00000000
    0     332  20.750    1       0       90       0    4e       7f 00000000
    0     332  20.750    1       0       80       0    49        0 00000000
    0     347  21.688    1       0       80       0    4e        0 00000000
    0     350  21.875    1       0       90       0    49       7f 00000000
    0     356  22.250    1       0       90       0    52       7f 00000000
    0     356  22.250    1       0       80       0    49        0 00000000
    0     377  23.563    1       0       90       0    50       7f 00000000
    0     377  23.563    1       0       80       0    52        0 00000000
    0     380  23.750    1       0       90       0    50       7f 00000000
    0     380  23.750    1       0       80       0    50        0 00000000
    0     404  25.250    1       0       80       0    50        0 00000000
