usecs   ticks  time part mamType noteType channel pitch velocity    other
1000000       0 0.000    0       2       f0       f    51        0 00000000
    0       0 0.000    1       1       c0       0    13        0 00000000
    0       2 0.000    1       0       90       0    49       7f 00000000
    0       8 0.000    1       0       90       0    4b       7f 00000000
    0       8 0.000    1       0       80       0    49        0 00000000
    0      14 0.000    1       0       90       0    4d       7f 00000000
    0      14 0.000    1       0       80       0    4b        0 00000000
    0      20 0.000    1       0       90       0    4b       7f 00000000
    0      20 0.000    1       0       80       0    4d        0 00000000
    0      26 0.000    1       0       90       0    49       7f 00000000
    0      26 0.000    1       0       80       0    4b        0 00000000
    0      32 0.000    1       0       90       0    4b       7f 00000000
    0      32 0.000    1       0       80       0    49        0 00000000
    0      41 0.000    1       0       90       0    48       7f 00000000
    0      41 0.000    1       0       80       0    4b        0 00000000
    0      44 0.000    1       0       90       0    46       7f 00000000
    0      44 0.000    1       0       80       0    48        0 00000000
    0      68 0.000    1       0       80       0    46        0 00000000
    0      74 0.000    1       0       90       0    4b       7f 00000000
    0      80 0.000    1       0       90       0    4d       7f 00000000
    0      80 0.000    1       0       80       0    4b        0 00000000
    0      86 0.000    1       0       90       0    4e       7f 00000000
    0      86 0.000    1       0       80       0    4d        0 00000000
    0      92 0.000    1       0       90       0    4d       7f 00000000
    0      92 0.000    1       0       80       0    4e        0 00000000
    0      98 0.000    1       0       90       0    4b       7f 00000000
    0      98 0.000    1       0       80       0    4d        0 00000000
    0     104 0.000    1       0       90       0    4d       7f 00000000
    0     104 0.000    1       0       80       0    4b        0 00000000
    0     113 0.000    1       0       90       0    49       7f 00000000
    0     113 0.000    1       0       80       0    4d        0 00000000
    0     116 0.000    1       0       90       0    48       7f 00000000
    0     116 0.000    1       0       80       0    49        0 00000000
    0     128 0.000    1       0       90       0    49       7f 00000000
    0     128 0.000    1       0       80       0    48        0 00000000
    0     140 0.000    1       0       90       0    4b       7f 00000000
    0     140 0.000    1       0       80       0    49        0 00000000
    0     143 0.000    1       0       80       0    4b        0 00000000
    0     146 0.000    1       0       90       0    4b       7f 00000000
    0     152 0.000    1       0       90       0    4d       7f 00000000
    0     152 0.000    1       0       80       0    4b        0 00000000
    0     158 0.000    1       0       90       0    4e       7f 00000000
    0     158 0.000    1       0       80       0    4d        0 00000000
    0     164 0.000    1       0       90       0    50       7f 00000000
    0     164 0.000    1       0       80       0    4e        0 00000000
    0     185 0.000    1       0       80       0    50        0 00000000
    0     188 0.000    1       0       90       0    50       7f 00000000
    0     197 0.000    1       0       80       0    50        0 00000000
    0     200 0.000    1       0       90       0    50       7f 00000000
    0     209 0.000    1       0       90       0    4d       7f 00000000
    0     209 0.000    1       0       80       0    50        0 00000000
    0     212 0.000    1       0       90       0    4d       7f 00000000
    0     212 0.000    1       0       80       0    4d        0 00000000
    0     221 0.000    1       0       80       0    4d        0 00000000
    0     224 0.000    1       0       90       0    4d       7f 00000000
    0     239 0.000    1       0       80       0    4d        0 00000000
    0     242 0.000    1       0       90       0    4d       7f 00000000
    0     245 0.000    1       0       80       0    4d        0 00000000
    0     248 0.000    1       0       90       0    4d       7f 00000000
    0     257 0.000    1       0       90       0    49       7f 00000000
    0     257 0.000    1       0       80       0    4d        0 00000000
    0     260 0.000    1       0       90       0    44       7f 00000000
    0     260 0.000    1       0       80       0    49        0 00000000
    0     275 0.000    1       0       80       0    44        0 00000000
    0     278 0.000    1       0       90       0    44       7f 00000000
    0     284 0.000    1       0       90       0    43       7f 00000000
    0     284 0.000    1       0       80       0    44        0 00000000
    0     290 0.000    1       0       90       0    44       7f 00000000
    0     290 0.000    1       0       80       0    43        0 00000000
    0     296 0.000    1       0       90       0    4b       7f 00000000
    0     296 0.000    1       0       80       0    44        0 00000000
    0     305 0.000    1       0       90       0    48       7f 00000000
    0     305 0.000    1       0       80       0    4b        0 00000000
    0     308 0.000    1       0       90       0    49       7f 00000000
    0     308 0.000    1       0       80       0    48        0 00000000
    0     323 0.000    1       0       80       0    49        0 00000000
    0     326 0.000    1       0       90       0    46       7f 00000000
    0     329 0.000    1       0       90       0    49       7f 00000000
    0     329 0.000    1       0       80       0    46        0 00000000
    0     332 0.000    1       0       90       0    4e       7f 00000000
    0     332 0.000    1       0       80       0    49        0 00000000
    0     347 0.000    1       0       80       0    4e        0 00000000
    0     350 0.000    1       0       90       0    49       7f 00000000
    0     356 0.000    1       0       90       0    52       7f 00000000
    0     356 0.000    1       0       80       0    49        0 00000000
    0     377 0.000    1       0       90       0    50       7f 00000000
    0     377 0.000    1       0       80       0    52        0 00000000
    0     380 0.000    1       0       90       0    50       7f 00000000
    0     380 0.000    1       0       80       0    50        0 00000000
    0     404 0.000    1       0       80       0    50        0 00000000
